Date,Open,High,Low,Close,Adj Close,Volume
9/4/2019,7949.810059,7981.410156,7928.939941,7976.879883,7976.879883,1891300000
9/5/2019,8061.290039,8134.419922,8061.290039,8116.830078,8116.830078,2096300000
9/6/2019,8125.580078,8134.390137,8098.52002,8103.069824,8103.069824,1876380000
9/9/2019,8130.910156,8131.660156,8052.339844,8087.439941,8087.439941,2172240000
9/10/2019,8049.97998,8086.529785,8001.680176,8084.160156,8084.160156,2362860000
9/11/2019,8091.680176,8169.680176,8081.560059,8169.680176,8169.680176,2310440000
9/12/2019,8206.580078,8243.799805,8176.72998,8194.469727,8194.469727,2159260000
9/13/2019,8190.569824,8210.200195,8165.470215,8176.709961,8176.709961,1976770000
9/16/2019,8121.640137,8165.330078,8121.25,8153.540039,8153.540039,1869220000
9/17/2019,8148.649902,8188.22998,8139.819824,8186.02002,8186.02002,1850340000
9/18/2019,8174.620117,8179.870117,8086.220215,8177.390137,8177.390137,2034880000
9/19/2019,8193.589844,8237.429688,8174.319824,8182.879883,8182.879883,1792700000
9/20/2019,8184.879883,8202.820313,8086.160156,8117.669922,8117.669922,3359380000
9/23/2019,8106.490234,8135.810059,8085.339844,8112.459961,8112.459961,1780160000
9/24/2019,8147.22998,8158.830078,7969.649902,7993.629883,7993.629883,2302600000
9/25/2019,7990.660156,8095,7935.569824,8077.379883,8077.379883,2015270000
9/26/2019,8070.120117,8072.109863,7991.02002,8030.660156,8030.660156,1832800000
9/27/2019,8047.109863,8051.830078,7890.279785,7939.629883,7939.629883,2037720000
9/30/2019,7964.089844,8012.160156,7949.629883,7999.339844,7999.339844,1805820000
10/1/2019,8026.830078,8062.5,7906.290039,7908.680176,7908.680176,2243650000
10/2/2019,7851.129883,7852.700195,7744.959961,7785.25,7785.25,2495160000
10/3/2019,7787.02002,7872.259766,7700,7872.259766,7872.259766,2141490000
10/4/2019,7908.439941,7986.620117,7899.390137,7982.470215,7982.470215,1736890000
10/7/2019,7956.410156,8013.310059,7942.080078,7956.290039,7956.290039,1739450000
10/8/2019,7898.27002,7921.879883,7823.72998,7823.779785,7823.779785,1933580000
10/9/2019,7895.959961,7930.919922,7873.52002,7903.740234,7903.740234,1553900000
10/10/2019,7904.560059,7982.839844,7899.810059,7950.779785,7950.779785,1778740000
10/11/2019,8047.339844,8115.799805,8046.799805,8057.040039,8057.040039,2176080000
10/14/2019,8044.350098,8069.850098,8036.410156,8048.649902,8048.649902,1419730000
10/15/2019,8074.850098,8166.180176,8071.810059,8148.709961,8148.709961,1836650000
10/16/2019,8119.810059,8146.149902,8103.379883,8124.180176,8124.180176,1886720000
10/17/2019,8176.910156,8183.640137,8131.25,8156.850098,8156.850098,1861570000
10/18/2019,8149.850098,8157.359863,8045.370117,8089.540039,8089.540039,2012930000
10/21/2019,8137.420898,8164.137207,8117.260742,8162.986816,8162.986816,1626442207
